550,1306,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_1.jpg
533,1407,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_2.jpg
420,904,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_3.jpg
500,1214,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_4.jpg
574,1434,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_5.jpg
468,1001,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_6.jpg
582,1476,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_7.jpg
429,1122,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_8.jpg
572,1415,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_9.jpg
509,1382,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_10.jpg
550,1306,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_1.jpg
533,1407,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_2.jpg
420,904,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_3.jpg
500,1214,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_4.jpg
574,1434,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_5.jpg
468,1001,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_6.jpg
582,1476,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_7.jpg
429,1122,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_8.jpg
572,1415,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_9.jpg
509,1382,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_10.jpg
550,1306,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_1.jpg
533,1407,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_2.jpg
420,904,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_3.jpg
500,1214,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_4.jpg
574,1434,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_5.jpg
468,1001,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_6.jpg
582,1476,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_7.jpg
429,1122,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_8.jpg
572,1415,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_9.jpg
509,1382,C:/Users/think/PycharmProjects/crop_differences/crop_differences_sampeimage_AUTOCROP_10.jpg
